epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,52268.4,1.4895,1.37346,1.4188,0.65438,0.47282,0.49499,0.33116,1.53691,1.32546,1.42251,0.0077725,0.0077725,0.0077725
20,55103.3,1.47371,1.35282,1.40858,0.64183,0.42217,0.45749,0.29836,1.56248,1.75275,1.41757,0.00764875,0.00764875,0.00764875
21,57896.1,1.46744,1.32835,1.40478,0.61447,0.312,0.4694,0.296,1.606,1.44618,1.48998,0.007525,0.007525,0.007525
22,60663.6,1.4613,1.3298,1.40729,0.64706,0.34015,0.50005,0.33487,1.53242,1.18466,1.43746,0.00740125,0.00740125,0.00740125
23,63429.1,1.45224,1.30651,1.39198,0.63408,0.3345,0.48963,0.32279,1.55746,1.23918,1.43905,0.0072775,0.0072775,0.0072775
24,66227.2,1.44388,1.2925,1.38839,0.68301,0.50136,0.5313,0.34065,1.60415,1.2451,1.44823,0.00715375,0.00715375,0.00715375
25,69062.8,1.43161,1.27578,1.37532,0.63561,0.32895,0.48512,0.30952,1.52572,1.19509,1.39197,0.00703,0.00703,0.00703
26,71848.3,1.42555,1.2801,1.37494,0.64626,0.32311,0.49148,0.31231,1.55688,1.33613,1.43154,0.00690625,0.00690625,0.00690625
27,74631.1,1.42143,1.26292,1.371,0.64706,0.3459,0.50271,0.32097,1.49796,1.21765,1.36768,0.0067825,0.0067825,0.0067825
28,77408.7,1.41144,1.2541,1.37005,0.60523,0.3347,0.47912,0.29848,1.51762,1.29956,1.4041,0.00665875,0.00665875,0.00665875
29,79976,1.4063,1.2374,1.3626,0.61929,0.3119,0.47102,0.30617,1.57786,1.25143,1.42567,0.006535,0.006535,0.006535
